04 Andrew               23456 00200.00 SP   
01 Andrew               65432 00100.00 SP   
00                      00000 00000.00   
03 Bob                  67890 00500.00 NP CQ
00                      00000 00000.00   
03 Bob                  67890 00123.45 NP CQ
04 Bob                  67890 00321.00 NP TF
   Andrew               65432 00321.00 SP
00                      00000 00000.00   
06 Andrew               23456 00000.00 SP   
00                      00000 00000.00   
01 Broke Boy            22222 00200.00 SP   
04 Broke Boy            22222 00300.00 SP   
00                      00000 00000.00   
01 Billy                00002 00045.89 NP   
00                      00000 00000.00   
07 Firstname Lastname   12345 00000.00 SP   
00                      00000 00000.00   
